,Address,City,Postcode,Price,Rooms,Link,DateLastUpdated,EstimatedAnnualRent,Gross_Yield_%,Net_Yield_%,Avg_Sold_Price_2024
80,"Lexington Gardens, Birmingham, B15","Birmingham, UK",B15,258000.0,2,https://rightmove.co.uk/properties/164472014#/?channel=RES_BUY,2025-07-14,14562.857142857145,5.64,-0.04,414366.5696969697
81,"Lexington Gardens, Edgbaston, Birmingham, B15","Birmingham, UK",B15,275000.0,2,https://rightmove.co.uk/properties/164410373#/?channel=RES_BUY,2025-07-11,14562.857142857145,5.3,-0.33,414366.5696969697
82,"Lexington Gardens, Birmingham","Birmingham, UK",B15,255000.0,2,https://rightmove.co.uk/properties/164405969#/?channel=RES_BUY,2025-07-11,14562.857142857145,5.71,0.02,414366.5696969697
83,"Augustus Road, Edgbaston, Birmingham","Birmingham, UK",B15,295000.0,2,https://rightmove.co.uk/properties/164102525#/?channel=RES_BUY,2025-07-03,14562.857142857145,4.94,-0.64,414366.5696969697
84,"Lime Court , 208 Hagley Road, B16 9PQ","Birmingham, UK",B15,260000.0,2,https://rightmove.co.uk/properties/163968944#/?channel=RES_BUY,2025-06-30,14562.857142857145,5.6,-0.07,414366.5696969697
85,"Charlotte Road, Edgbaston, Birmingham, B15","Birmingham, UK",B15,299950.0,2,https://rightmove.co.uk/properties/162566114#/?channel=RES_BUY,2025-06-27,14562.857142857145,4.86,-0.71,414366.5696969697
86,"Jacksons Warehouse, 20 Tariff Street, Northern Quarter, Manchester, M1 2FJ","Manchester, UK",M1,279995.0,2,https://rightmove.co.uk/properties/142983230#/?channel=RES_BUY,2024-05-14,19878.75,7.1,1.21,518486.1052631579
87,"122 High Street, Northern Quarter","Manchester, UK",M1,250000.0,2,https://rightmove.co.uk/properties/152589506#/?channel=RES_BUY,2025-07-22,19878.75,7.95,1.94,518486.1052631579
88,"Cambridge Street, Manchester, M1","Manchester, UK",M1,250000.0,2,https://rightmove.co.uk/properties/164751680#/?channel=RES_BUY,2025-07-21,19878.75,7.95,1.94,518486.1052631579
89,"51 Whitworth Street West, Manchester, M1","Manchester, UK",M1,260000.0,2,https://rightmove.co.uk/properties/164688785#/?channel=RES_BUY,2025-07-18,19878.75,7.65,1.67,518486.1052631579
90,"Oxygen Tower, 50 Store Street, Manchester, M1","Manchester, UK",M1,290000.0,2,https://rightmove.co.uk/properties/164640182#/?channel=RES_BUY,2025-07-17,19878.75,6.85,1.0,518486.1052631579
91,"Great Ancoats Street, Manchetser, M4 6DH","Manchester, UK",M1,300000.0,2,https://rightmove.co.uk/properties/164639783#/?channel=RES_BUY,2025-07-17,19878.75,6.63,0.8,518486.1052631579
92,"One Smithfield, Northern Quarter, Manchester","Manchester, UK",M1,280000.0,2,https://rightmove.co.uk/properties/164631269#/?channel=RES_BUY,2025-07-17,19878.75,7.1,1.21,518486.1052631579
93,"Lower Byrom Street, Manchester","Manchester, UK",M1,250000.0,2,https://rightmove.co.uk/properties/164455298#/?channel=RES_BUY,2025-07-16,19878.75,7.95,1.94,518486.1052631579
94,"Dearmans Place, Salford","Manchester, UK",M1,265000.0,2,https://rightmove.co.uk/properties/164455346#/?channel=RES_BUY,2025-07-16,19878.75,7.5,1.55,518486.1052631579
95,"East Tower, M15","Manchester, UK",M1,250000.0,1,https://rightmove.co.uk/properties/164567363#/?channel=RES_BUY,2025-07-16,16681.333333333332,6.67,0.84,518486.1052631579
96,"Silvercroft Street, Manchester, Greater Manchester, M15","Manchester, UK",M1,293000.0,1,https://rightmove.co.uk/properties/164539169#/?channel=RES_BUY,2025-07-15,16681.333333333332,5.69,0.01,518486.1052631579
97,"Cotton Street, Manchester, M4","Manchester, UK",M1,260000.0,1,https://rightmove.co.uk/properties/164530286#/?channel=RES_BUY,2025-07-15,16681.333333333332,6.42,0.62,518486.1052631579
98,"Whitworth Street West, Manchester, Greater Manchester, M1","Manchester, UK",M1,280000.0,2,https://rightmove.co.uk/properties/164528597#/?channel=RES_BUY,2025-07-15,19878.75,7.1,1.21,518486.1052631579
99,"Piccadilly Place, Manchester","Manchester, UK",M1,255000.0,2,https://rightmove.co.uk/properties/156439628#/?channel=RES_BUY,2025-07-15,19878.75,7.8,1.8,518486.1052631579
100,"29 New Bailey Street, Salford","Manchester, UK",M1,259000.0,1,https://rightmove.co.uk/properties/161284145#/?channel=RES_BUY,2025-07-14,16681.333333333332,6.44,0.64,518486.1052631579
101,"Elizabeth Tower, Chester Road","Manchester, UK",M1,299950.0,1,https://rightmove.co.uk/properties/151519730#/?channel=RES_BUY,2025-07-14,16681.333333333332,5.56,-0.11,518486.1052631579
102,"James Brindley Basin, Piccadilly Village, Manchester, M1","Manchester, UK",M1,280000.0,2,https://rightmove.co.uk/properties/164487647#/?channel=RES_BUY,2025-07-14,19878.75,7.1,1.21,518486.1052631579
103,"Blade Tower, 15 Silvercroft Street, MANCHESTER","Manchester, UK",M1,273000.0,1,https://rightmove.co.uk/properties/163797197#/?channel=RES_BUY,2025-07-14,16681.333333333332,6.11,0.36,518486.1052631579
104,"Canal Wharf House, Castlefield","Manchester, UK",M1,265000.0,1,https://rightmove.co.uk/properties/157721594#/?channel=RES_BUY,2025-07-14,16681.333333333332,6.29,0.52,518486.1052631579
105,"2 Munday Street, Manchester","Manchester, UK",M1,275000.0,2,https://rightmove.co.uk/properties/163695038#/?channel=RES_BUY,2025-07-12,19878.75,7.23,1.32,518486.1052631579
